SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
3-Point1,1-Preload,0.000,28.999,-0,0.237
3-Point1,1-Preload,0.200,28.999,-0,0.166
3-Point1,1-Compress,0.400,28.999,-0,0.190
3-Point1,1-Compress,0.600,28.989,0.01,0.237
3-Point1,1-Compress,0.800,28.979,0.02,0.332
3-Point1,1-Compress,1.000,28.969,0.03,0.449
3-Point1,1-Compress,1.200,28.959,0.04,0.520
3-Point1,1-Compress,1.400,28.949,0.05,0.685
3-Point1,1-Compress,1.600,28.939,0.06,0.898
3-Point1,1-Compress,1.800,28.929,0.07,0.921
3-Point1,1-Compress,2.000,28.919,0.08,1.252
3-Point1,1-Compress,2.200,28.909,0.09,1.464
3-Point1,1-Compress,2.400,28.899,0.1,1.960
3-Point1,1-Compress,2.600,28.889,0.11,2.502
3-Point1,1-Compress,2.800,28.879,0.12,3.470
3-Point1,1-Compress,3.000,28.869,0.13,3.989
3-Point1,1-Compress,3.200,28.859,0.14,4.838
3-Point1,1-Compress,3.400,28.849,0.15,5.452
3-Point1,1-Compress,3.600,28.839,0.16,6.301
3-Point1,1-Compress,3.800,28.829,0.17,6.891
3-Point1,1-Compress,4.000,28.819,0.18,7.646
3-Point1,1-Compress,4.200,28.809,0.19,8.236
3-Point1,1-Compress,4.400,28.799,0.2,8.897
3-Point1,1-Compress,4.600,28.789,0.21,9.487
3-Point1,1-Compress,4.800,28.779,0.22,10.147
3-Point1,1-Compress,5.000,28.769,0.23,10.902
3-Point1,1-Compress,5.200,28.759,0.24,11.492
3-Point1,1-Compress,5.400,28.749,0.25,12.271
3-Point1,1-Compress,5.600,28.739,0.26,12.908
3-Point1,1-Compress,5.800,28.729,0.27,13.640
3-Point1,1-Compress,6.000,28.719,0.28,14.017
3-Point1,1-Compress,6.200,28.709,0.29,14.678
3-Point1,1-Compress,6.400,28.699,0.3,14.843
3-Point1,1-Compress,6.600,28.689,0.31,15.386
3-Point1,1-Compress,6.800,28.679,0.32,15.362
3-Point1,1-Compress,7.000,28.669,0.33,9.652
3-Point1,1-Compress,7.200,28.659,0.34,0.143
3-Point1,1-Compress,7.400,28.649,0.35,0.143
